Country ,2019,2020,2021,2022,2023
Kiribati,1750.997509,1769.432118,2253.825001,2075.908441,2106.760004
St. Kitts and Nevis,23595.49232,18859.01904,18361.14497,21011.57442,22573.67248
"Korea, Rep.",31902.4169,31721.29891,35125.5225,32394.68337,33121.37129
Kuwait,31707.87375,25236.07555,34043.54215,40077.23805,33729.79855
Latin America & Caribbean (excluding high income),8305.989468,6940.278963,7996.407761,9129.466627,10180.70552
Lao PDR,2589.32081,2583.777307,2526.05105,2046.404403,2066.949798
Liberia,658.1641808,616.787867,667.9661051,744.6171752,771.8871421
Libya,9963.194891,6650.338106,4935.827873,5986.636949,6172.812469
St. Lucia,11794.20565,8411.199418,10459.13212,13103.76217,13554.66519
Latin America & Caribbean,8830.900456,7444.660734,8596.355885,9714.936287,10796.86237
Least developed countries: UN classification,1097.76355,1081.797482,1153.750929,1265.525405,1306.234785
Liechtenstein,166907.8393,164671.0936,196783.7294,186400.2338,
Sri Lanka,4082.694049,3846.174496,3999.337647,3342.719896,3827.964956
Lower middle income,2152.161879,2057.146291,2300.761243,2423.841467,2415.598545
Low & middle income,4791.420883,4585.375759,5345.679193,5551.335146,5658.547496
Lesotho,1082.057068,918.5825774,1066.586451,1029.995533,916.2829793
Late-demographic dividend,9991.404016,9734.689593,11597.48556,12082.0001,12184.20708
Lithuania,19727.76075,20541.82499,23934.72849,25085.78406,27786.00578
Luxembourg,112726.4397,116905.3704,133711.7944,125006.0218,128678.1899
Latvia,17294.97516,17564.23215,20262.84339,20229.46136,22502.84299
"Macao SAR, China",81967.69917,36976.25611,45376.31459,36909.95641,67476.52908
Morocco,3508.097656,3268.030273,3785.936279,3455.39624,3771.446289
Monaco,193746.7856,176891.8865,223823.364,226052.0019,256580.5151
Moldova,4405.334182,4375.778893,5274.605822,5738.424735,6729.412868
Madagascar,499.8188376,450.7716152,490.2062386,497.2425148,506.1593687
Maldives,11740.2724,7393.888654,10176.14388,11786.00915,12530.36024
Middle East & North Africa,7590.754518,6650.853688,7801.403934,8986.098959,8499.843064
Mexico,10369.55536,8841.27075,10314.05067,11385.40708,13790.02434
Marshall Islands,5292.339855,5661.967873,6258.611937,6322.828555,6678.342391
Middle income,5267.927627,5049.558237,5906.22675,6137.817076,6254.08765
North Macedonia,6718.858266,6659.596511,7620.80297,7606.237525,8624.293609
Mali,820.1973908,804.3439567,862.4674001,813.9650341,869.2702343
Malta,32412.26978,31796.82134,38027.38017,36142.20585,40395.76921
Myanmar,1425.989542,1490.216835,1242.721344,1158.05005,1233.196662
Middle East & North Africa (excluding high income),3594.108764,3175.617067,3653.70377,4030.08693,3797.10418
Montenegro,8909.653876,7677.371321,9465.96153,10093.4387,12221.47755
Mongolia,4347.546103,4001.251931,4517.61578,4993.514875,5838.631081
Mozambique,519.0925509,462.4338765,509.9078295,578.2516638,622.9856193
Mauritania,1767.072711,1795.764596,1947.789184,1960.352401,2120.823204
Mauritius,11403.25279,9011.042884,9068.973002,10239.79705,11613.04416
Malawi,580.8898161,602.5074782,617.4475208,604.2697512,602.3436198
Malaysia,10920.19176,9957.526267,10903.11164,11748.09193,11379.0861
North America,63634.7861,62271.19692,69382.17285,75686.48983,79640.42962
Namibia,4731.921032,3878.58983,4412.835569,4349.045322,4168.285211
Niger,561.6913043,579.5124958,608.7224396,609.7451476,642.9379179
Nigeria,2265.155209,2019.657063,2017.274865,2139.374785,1596.636961
Nicaragua,1958.621329,1931.615158,2128.609806,2325.167379,2612.870662
Netherlands,53554.90075,53467.92774,60141.98809,59123.31856,64572.00596
Norway,76430.58895,68340.0181,93072.89251,108798.4512,87925.09442
Nepal,1203.142947,1154.215176,1252.750767,1385.910663,1377.626036
Nauru,10776.82846,10695.69933,14989.66475,13287.27119,12982.76121
New Zealand,42747.20993,41785.69229,49624.18167,48216.50958,48280.81142
OECD members,39764.82161,38686.3274,43133.78607,44026.85925,46724.01571
Oman,19180.18642,16784.86306,19403.46002,23665.63947,21549.83687
Other small states,14425.24701,13071.22362,15120.10408,16066.27297,16728.26757
Pakistan,1390.41691,1278.397352,1455.319224,1538.322813,1365.277432
Panama,16477.90663,13290.56083,15509.80691,17332.43607,18686.4051
Peru,7037.008037,6133.325524,6826.972007,7363.272069,7906.585029
Philippines,3400.789498,3227.579102,3484.385939,3548.069306,3804.87258
Palau,15841.19353,14556.58969,13257.20667,14392.19903,15899.42249
Papua New Guinea,2575.772743,2429.611346,2607.578619,3101.710632,2957.682625
Poland,15874.52205,15987.57537,18635.51049,18891.21212,22056.66617
Pre-demographic dividend,1469.632918,1313.17036,1404.303658,1567.280393,1453.262268
Puerto Rico,32916.8668,31427.42911,32619.25042,35268.0791,36779.05949
Portugal,23343.3629,22299.40441,24711.45101,24620.51956,27331.20949
Paraguay,5821.181995,5365.472207,5976.931798,6205.625954,6276.351139
West Bank and Gaza,3656.858271,3233.568638,3678.635657,3799.95527,3372.349744
Pacific island small states,4170.321181,3666.598981,3638.301407,3892.778333,4146.436206
Post-demographic dividend,45916.41227,44858.11046,49980.40433,51063.61975,54041.53969
Qatar,66841.30135,51683.50544,71751.88312,88701.46335,80195.87465
Romania,12992.03261,13082.30066,14986.78549,15557.88262,18404.27309
Russian Federation,11447.70117,10108.32715,12521.52246,15445.24219,13817.0459
Rwanda,810.0514202,778.7015386,828.8330328,975.4693159,1010.268929
South Asia,1952.013401,1843.195274,2131.302296,2239.516302,2303.30291
Saudi Arabia,27892.84215,23271.40376,28396.08642,34454.19577,32093.9623
Sudan,709.9752808,577.7952271,712.1220093,1046.240845,2183.441406
Senegal,1431.181289,1461.087204,1598.10677,1564.745221,1706.44218
Singapore,66081.71992,61466.80368,79601.41296,88428.70242,84734.25592
Solomon Islands,2223.665026,2063.331015,1996.869768,2005.413993,2041.636491
Sierra Leone,843.7125173,845.3138363,885.1842707,860.130884,757.858336
El Salvador,4320.116715,3997.192796,4642.607431,5093.518339,5391.069262
Somalia,539.8939316,518.1847785,549.1147435,573.1280925,597.4588546
Serbia,7755.632986,8098.709557,9680.527981,10022.96885,12281.50585
Sub-Saharan Africa (excluding high income),1610.17142,1472.996712,1612.770038,1686.891375,1621.261481
Sub-Saharan Africa,1611.673635,1474.055311,1613.87686,1688.401084,1622.807051
Small states,12739.83887,11381.5579,13092.49757,14371.49359,15086.09155
Sao Tome and Principe,1935.293182,2167.220018,2362.588272,2389.737298,2940.933529
Suriname,6629.667752,4755.392217,5029.848385,6084.438767,5494.074094
Slovak Republic,19406.05897,19735.48583,22138.19498,21342.76667,24491.37719
Slovenia,25814.16872,25392.06511,29187.36938,28373.83823,32610.11092
Sweden,51773.04646,52653.75659,61174.96802,55296.93715,55516.83648
Eswatini,3894.329516,3442.321653,3926.486874,3852.085733,3610.608797
Sint Maarten (Dutch part),34861.46953,30150.89984,32548.43669,36476.63008,38077.54449
Seychelles,19141.51187,14041.47541,14982.91115,17167.19098,17879.23965
Turks and Caicos Islands,27273.4377,17452.6578,23114.79021,26802.06738,30348.81144
Chad,678.1420357,622.0955434,660.7471926,671.7201476,680.6398779
East Asia & Pacific (IDA & IBRD countries),8245.101611,8338.13776,9905.154404,10012.44947,10011.99413
Europe & Central Asia (IDA & IBRD countries),9027.507095,8443.061591,10010.77441,11351.00797,11977.33988
Togo,826.2606541,853.5782203,939.6133738,898.7581544,985.6975126
Thailand,7605.696578,6985.643939,7058.0695,6909.359975,7182.025258
Tajikistan,871.0223729,834.3117155,896.7480534,1052.179495,1160.81187
Turkmenistan,6648.034896,6592.60146,7051.202111,8156.35212,8232.65226
Latin America & the Caribbean (IDA & IBRD countries),8654.862095,7240.560061,8382.654516,9483.706406,10553.71099
Timor-Leste,1562.364589,1630.869354,2684.827044,2343.245247,1502.519638
Middle East & North Africa (IDA & IBRD countries),3593.386667,3174.944151,3653.411588,4032.804004,3802.179725
South Asia (IDA & IBRD),1952.013401,1843.195274,2131.302296,2239.516302,2303.30291
Sub-Saharan Africa (IDA & IBRD countries),1611.673635,1474.055311,1613.87686,1688.401084,1622.807051
Trinidad and Tobago,17431.02693,15224.50835,17912.51062,22004.19979,20016.1503
Tunisia,3528.872133,3548.653637,3885.281665,3678.400234,3977.695166
Turkiye,9215.440499,8638.739038,9743.212778,10674.50416,13105.65857
Tuvalu,5115.13076,4976.112541,5905.081981,5911.327271,6344.775019
Tanzania,1063.32251,1117.415283,1159.856567,1207.853027,1224.489624
Uganda,822.0570582,845.7664639,882.7917175,963.0673141,1002.309139
Ukraine,3619.861572,3709.769287,4775.945801,4199.670898,5069.703125
Upper middle income,8551.440962,8228.643366,9770.290697,10156.70472,10451.34455
Uruguay,18315.73529,15789.68574,17888.21151,20691.9739,22797.81117
United States,65604.68152,64411.37318,71318.30736,78035.17536,82769.41221
Uzbekistan,2041.384807,1978.280519,2258.519641,2578.666894,2849.514611
St. Vincent and the Grenadines,8743.332021,8395.099889,8481.305374,9471.146273,10520.44415
Viet Nam,3440.900254,3534.039535,3704.193559,4116.385761,4282.088517
Vanuatu,3207.446505,3042.987116,3107.203129,3265.396451,3515.236336
World,11334.84309,10916.68767,12352.73608,12737.31503,13169.59823
Samoa,4351.942349,4099.660091,3947.645179,3869.466395,4330.178405
Kosovo,4415.997161,4310.888247,5270.426702,5290.947472,5960.158205
"Yemen, Rep.",623.3761649,559.5646728,522.1735127,615.7020793,477.4090287
South Africa,6533.71121,5580.603831,6843.399419,6523.410978,6022.542542
Zambia,1258.986198,951.6443167,1127.160779,1447.123101,1330.727806
Zimbabwe,1684.027904,1730.413489,1724.387731,2040.552459,2156.034004
